STUSPS,NAME,NAME.1,Pop1920,pop1930,pop1940
KS,Kansas,Allen,"23,509","21,391","19,874"
KS,Kansas,Anderson,"12,986","13,355","11,658"
KS,Kansas,Atchison,"23,411","23,945","22,222"
KS,Kansas,Barber,"9,739","10,178","9,073"
KS,Kansas,Barton,"18,422","19,776","25,010"
KS,Kansas,Bourbon,"23,198","22,386","20,944"
KS,Kansas,Brown,"20,949","20,553","17,395"
KS,Kansas,Butler,"43,842","35,904","32,013"
KS,Kansas,Chase,"7,144","6,952","6,345"
KS,Kansas,Chautauqua,"11,598","10,352","9,233"
KS,Kansas,Cherokee,"33,609","31,457","29,817"
KS,Kansas,Cheyenne,"5,587","6,948","6,221"
KS,Kansas,Clark,"4,989","4,796","4,081"
KS,Kansas,Clay,"14,365","14,556","13,281"
KS,Kansas,Cloud,"17,714","18,006","17,247"
KS,Kansas,Coffey,"14,254","13,653","12,278"
KS,Kansas,Comanche,"5,302","5,238","4,412"
KS,Kansas,Cowley,"35,155","40,903","38,139"
KS,Kansas,Crawford,"61,800","49,329","44,191"
KS,Kansas,Decatur,"8,121","8,866","7,434"
KS,Kansas,Dickinson,"25,777","25,870","22,929"
KS,Kansas,Doniphan,"13,438","14,063","12,936"
KS,Kansas,Douglas,"23,998","25,143","25,171"
KS,Kansas,Edwards,"7,057","7,295","6,377"
KS,Kansas,Elk,"9,034","9,210","8,180"
KS,Kansas,Ellis,"14,138","15,907","17,508"
KS,Kansas,Ellsworth,"10,379","10,132","9,855"
KS,Kansas,Finney,"7,674","11,014","10,092"
KS,Kansas,Ford,"14,273","20,647","17,254"
KS,Kansas,Franklin,"21,946","22,024","20,889"
KS,Kansas,Geary,"13,452","14,366","15,222"
KS,Kansas,Gove,"4,748","5,643","4,793"
KS,Kansas,Graham,"7,624","7,772","6,071"
KS,Kansas,Grant,"1,087","3,092","1,946"
KS,Kansas,Gray,"4,711","6,211","4,773"
KS,Kansas,Greeley,"1,028","1,712","1,638"
KS,Kansas,Greenwood,"14,715","19,235","16,495"
KS,Kansas,Hamilton,"2,586","3,328","2,645"
KS,Kansas,Harper,"13,656","12,823","12,068"
KS,Kansas,Harvey,"20,744","22,120","21,712"
KS,Kansas,Haskell,"1,455","2,805","2,088"
KS,Kansas,Hodgeman,"3,734","4,157","3,535"
KS,Kansas,Jackson,"15,495","14,776","13,382"
KS,Kansas,Jefferson,"14,750","14,129","12,718"
KS,Kansas,Jewell,"16,240","14,462","11,970"
KS,Kansas,Johnson,"18,314","27,179","33,327"
KS,Kansas,Kearny,"2,617","3,196","2,525"
KS,Kansas,Kingman,"12,119","11,674","12,001"
KS,Kansas,Kiowa,"6,164","6,035","5,112"
KS,Kansas,Labette,"34,047","31,346","30,352"
KS,Kansas,Lane,"2,848","3,372","2,821"
KS,Kansas,Leavenworth,"38,402","42,673","41,112"
KS,Kansas,Lincoln,"9,894","9,707","8,338"
KS,Kansas,Linn,"13,815","13,534","11,969"
KS,Kansas,Logan,"3,223","4,145","3,688"
KS,Kansas,Lyon,"26,154","29,240","26,424"
KS,Kansas,Marion,"21,845","23,588","24,152"
KS,Kansas,Marshall,"22,923","20,739","18,951"
KS,Kansas,McPherson,"22,730","23,056","20,986"
KS,Kansas,Meade,"5,542","6,858","5,522"
KS,Kansas,Miami,"19,809","21,243","19,489"
KS,Kansas,Mitchell,"13,886","12,774","11,339"
KS,Kansas,Montgomery,"49,645","51,411","49,729"
KS,Kansas,Morris,"12,005","11,859","10,363"
KS,Kansas,Morton,"3,177","4,092","2,186"
KS,Kansas,Nemaha,"18,487","18,342","16,761"
KS,Kansas,Neosho,"24,000","22,665","22,210"
KS,Kansas,Ness,"7,490","8,358","6,864"
KS,Kansas,Norton,"11,423","11,701","9,831"
KS,Kansas,Osage,"18,621","17,538","15,118"
KS,Kansas,Osborne,"12,441","11,568","9,835"
KS,Kansas,Ottawa,"10,714","9,819","9,224"
KS,Kansas,Pawnee,"9,323","10,510","10,300"
KS,Kansas,Phillips,"12,505","12,159","10,435"
KS,Kansas,Pottawatomie,"16,154","15,862","14,015"
KS,Kansas,Pratt,"12,909","13,312","12,348"
KS,Kansas,Rawlins,"6,799","7,362","6,618"
KS,Kansas,Reno,"44,423","47,785","52,165"
KS,Kansas,Republic,"15,855","14,745","13,124"
KS,Kansas,Rice,"14,832","13,800","17,213"
KS,Kansas,Riley,"20,650","19,882","20,617"
KS,Kansas,Rooks,"9,966","9,534","8,497"
KS,Kansas,Rush,"8,360","9,093","8,285"
KS,Kansas,Russell,"10,748","11,045","13,464"
KS,Kansas,Saline,"25,103","29,337","29,535"
KS,Kansas,Scott,"3,121","3,976","3,773"
KS,Kansas,Sedgwick,"92,234","136,330","143,311"
KS,Kansas,Seward,"6,220","8,075","6,540"
KS,Kansas,Shawnee,"69,159","85,200","91,247"
KS,Kansas,Sheridan,"5,484","6,038","5,312"
KS,Kansas,Sherman,"5,592","7,400","6,421"
KS,Kansas,Smith,"14,985","13,545","10,582"
KS,Kansas,Stafford,"11,559","10,460","10,487"
KS,Kansas,Stanton,908,"2,152","1,443"
KS,Kansas,Stevens,"3,943","4,655","3,193"
KS,Kansas,Sumner,"29,213","28,960","26,163"
KS,Kansas,Thomas,"5,517","7,334","6,425"
KS,Kansas,Trego,"5,880","6,470","5,822"
KS,Kansas,Wabaunsee,"11,424","10,830","9,219"
KS,Kansas,Wallace,"2,424","2,882","2,216"
KS,Kansas,Washington,"17,984","17,112","15,921"
KS,Kansas,Wichita,"1,856","2,579","2,185"
KS,Kansas,Wilson,"21,157","18,646","17,723"
KS,Kansas,Woodson,"8,984","8,526","8,014"
KS,Kansas,Wyandotte,"122,218","141,211","145,071"
,,,,,